date,performance_video_spend,brand_video_spend,total_revenue
2024-01-07,25599.706536604936,41025.358378822,90858.3436440975
2024-01-14,57289.28685254539,12719.565853401622,137822.125567221
2024-01-21,45259.66679962728,19646.465690532077,145988.8254044901
2024-01-28,37926.216630837014,34488.698957351095,160319.47029260764
2024-02-04,13581.02522433401,11838.321116139767,156511.46053308138
2024-02-11,13579.698618491146,5310.136122638099,158858.40317500246
2024-02-18,8194.59866925097,14459.312475292025,154833.59697618446
2024-02-25,52639.68801762143,8932.51535192219,150656.2634451588
2024-03-03,38061.32564587648,41976.99905073064,159928.34805608972
2024-03-10,43943.9917787825,36749.17632126993,165244.4638013269
2024-03-17,6132.147186269134,29236.361529948208,169329.58781831086
2024-03-24,58345.04186890969,39472.80537807186,179098.36065089484
2024-03-31,50784.34524402319,36557.89930666192,176318.4438675351
2024-04-07,16678.65108730519,10022.512532099541,172853.50293716503
2024-04-14,15000.373196390534,40380.036935069045,170879.04994077273
2024-04-21,15087.24804193886,55191.716402372986,172064.7305884157
2024-04-28,21733.323362774576,66719.92667205469,178344.35963761658
2024-05-05,33861.60373977308,70531.9258967102,185271.89495399795
2024-05-12,28756.976025316366,45674.14942379015,187678.87869153716
2024-05-19,21017.602710892304,36732.2327546901,188883.47771566
2024-05-26,38651.90920973087,11801.211989303492,184652.34383873973
2024-06-02,12672.1623358623,20365.63491092902,182699.32645183135
2024-06-09,21067.955669436997,37174.63493466721,173075.0850707479
2024-06-16,25149.901381153042,39011.415080022765,180545.5298413569
2024-06-23,30083.849131936975,2298.9416128412004,171589.06891523447
2024-06-30,48184.67787661575,23962.134010835325,166250.33882837763
2024-07-07,15982.058018709786,19948.673135397497,162036.6198554868
2024-07-14,33282.89411274864,11550.6358502414,164114.02848323938
2024-07-21,37582.80128741234,7154.210795348361,158569.10332443987
2024-07-28,7554.772699599875,16517.452370356004,156585.72129376742
2024-08-04,38414.966854579114,42545.117268238326,160259.00830151926
2024-08-11,14378.826802801033,15897.726076892475,160012.51730273204
2024-08-18,8577.837614190374,24307.99673496474,157904.56870847987
2024-08-25,57188.704548933325,32229.81523249265,162176.48641260012
2024-09-01,58109.761819100764,17636.072902309643,167707.35424160946
2024-09-08,49461.85414640536,43786.62955700131,174648.695042284
2024-09-15,21753.75730453539,43385.233682510785,175424.9809160359
2024-09-22,10371.966270351113,12826.638720490659,169932.23031785872
2024-09-29,42632.81645816863,23381.685753372574,173921.08490823535
2024-10-06,29208.387155678072,14937.767322121095,171524.41923703355
2024-10-13,11712.102916462834,14248.141258231108,162425.29697273872
2024-10-20,32234.73005611986,3586.1387362449104,160358.01588648095
2024-10-27,6891.368661337012,28211.266361135564,155815.30582870246
2024-11-03,55012.62211433301,23615.197998841046,155673.63349342844
2024-11-10,19232.898988000932,4213.586303749542,158326.1532623667
2024-11-17,41438.725639469005,53981.79796217429,165072.74411391787
2024-11-24,22144.1091849176,81055.4330965661,176752.4393298591
2024-12-01,33603.741164779596,52301.16129867981,184461.98994839063
2024-12-08,35069.06536388038,48230.47949992259,181489.16681919593
2024-12-15,15166.995053903987,63046.46869193521,184105.5909205052
2024-12-22,58327.15452705072,84382.96952675583,193068.40493651922
2024-12-29,47632.3052848613,52408.37667499452,194811.96073287213
2025-01-05,56672.4417860304,30901.828538452777,194639.08304743105
2025-01-12,54215.50427352069,34749.64345913485,202769.77979332185
2025-01-19,37884.49883460968,12218.414391673186,188247.28081618418
2025-01-26,55703.082926271425,33313.30299030997,185717.13747490462
2025-02-02,9867.087612855572,17814.674706927886,179225.54207252536
2025-02-09,15779.057433052985,29189.150715523916,174194.4929159734
2025-02-16,7487.500890079594,29241.77756271847,168416.91726093984
2025-02-23,22893.168191979537,25038.311415214615,170862.44753932915
2025-03-02,26377.25093292151,5882.460112339557,163648.33671432082
2025-03-09,19924.196747564274,37918.007310337234,164372.5701315499
2025-03-16,50580.56300335612,15793.542793784642,164892.57015203135
2025-03-23,24621.432968147412,10020.295947193732,163857.1136478652
2025-03-30,20451.39803280594,3753.3310868548483,165359.3982309977
2025-04-06,34848.28457370367,27408.3965570944,151719.27155190904
2025-04-13,12750.832373611946,31135.267559218144,159987.5486088895
2025-04-20,49120.833941472185,2713.2766438978147,154648.8874032085
2025-04-27,9100.285402387395,24020.00150686908,156847.7328147528
2025-05-04,59278.78151302845,11739.318333511332,163244.91521480822
2025-05-11,47473.46231131616,29742.429987606345,162217.3063690695
2025-05-18,15929.362484379482,9497.756447214633,157428.29345089765
2025-05-25,5303.716441798132,31710.322738406037,158248.1877059302
2025-06-01,49850.378565015875,18629.61989092311,165439.54589037722
2025-06-08,43877.15391161894,42279.389515679584,165629.92999369197
2025-06-15,45095.394242254304,7913.40059827771,169401.2796094463
2025-06-22,47419.86906772701,16665.853095161117,168089.8108198515
2025-06-29,9072.45584537497,6879.36141334533,160977.12201158146
2025-07-06,24715.615069934993,41761.8255859782,169468.02766909823
2025-07-13,11372.798273882134,39725.59219538218,167285.79771681206
2025-07-20,52470.68842315764,13091.48999175169,162778.2990585706
2025-07-27,39281.39697551569,30379.313979469698,171102.7141933826
2025-08-03,23199.391366895707,37140.55460865228,169738.52559043048
2025-08-10,8495.7092657313,25873.63489877688,173340.06959436345
2025-08-17,22104.027694361423,24774.97486930828,167858.55708145731
2025-08-24,22885.08271147109,12399.648508719423,167432.41539167718
2025-08-31,45128.339808593526,6003.419015653666,166529.42825199733
2025-09-07,40065.66092453672,40580.27759199305,167517.47765797068
2025-09-14,53796.70084169796,40717.97645802321,165399.76284063247
2025-09-21,30971.82088390721,29223.362662750522,170835.62288790147
2025-09-28,11577.683526606594,16578.28101509413,169726.2875058733
2025-10-05,44228.46329726472,17016.01170834442,168649.23023333438
2025-10-12,46843.17767392936,33216.09419142029,175974.54295580764
2025-10-19,35870.24586632229,40575.741177960816,173421.1389083202
2025-10-26,47403.194897500856,40144.71624340004,171682.4721518708
2025-11-02,32158.75780004149,35534.64847187782,180340.3540309316
2025-11-09,33750.305616009675,29607.360784634373,184764.7544554456
2025-11-16,28514.75600972023,5618.0184947871,178568.8695698791
2025-11-23,6398.051970925235,8950.034706068393,164048.55472168323
2025-11-30,10934.028484631745,40637.830106664405,163428.02837951772
2025-12-07,6728.605212770384,28076.449565362367,166375.3915002049
2025-12-14,40002.57261950792,2395.473219515075,160772.97021221078
2025-12-21,22289.578959197966,6363.27634323938,159903.1984860107
2025-12-28,32971.388014058655,30530.5760716464,160551.6379844052
