date,youtube_spend,attributed_branded_search
2026-01-01,8897.37,89
2026-01-02,9953.05,218
2026-01-03,10968.01,439
2026-01-04,10586.19,500
2026-01-05,7444.91,463
2026-01-06,6362.83,406
2026-01-07,8199.71,373
2026-01-08,9113.95,434
2026-01-09,9688.08,506
2026-01-10,10883.9,589
2026-01-11,8997.03,537
2026-01-12,7259.65,468
2026-01-13,6743.71,371
2026-01-14,5405.71,306
2026-01-15,7120.07,290
2026-01-16,9613.83,438
2026-01-17,9639.59,466
2026-01-18,9619.17,517
2026-01-19,6905.81,443
2026-01-20,5420.3,296
2026-01-21,8108.86,361
2026-01-22,8319.38,413
2026-01-23,10117.69,459
2026-01-24,9310.06,517
2026-01-25,8932.26,517
2026-01-26,7720.97,471
2026-01-27,5629.35,319
2026-01-28,7236.9,314
2026-01-29,8019.49,375
2026-01-30,9830.31,464
2026-01-31,14468.49,755
2026-02-01,15349.59,1008
2026-02-02,12121.43,958
2026-02-03,10203.98,847
2026-02-04,12094.37,878
2026-02-05,12023.33,874
2026-02-06,14730.75,1087
2026-02-07,13382.12,1084
2026-02-08,12805.22,1033
2026-02-09,12289.72,1023
2026-02-10,11640.92,930
2026-02-11,11573.43,921
2026-02-12,12907.48,979
2026-02-13,14322.78,1059
2026-02-14,13767.04,1128
2026-02-15,13291.89,1112
2026-02-16,7263.72,771
2026-02-17,7395.84,611
2026-02-18,7211.23,467
2026-02-19,7089.57,393
2026-02-20,10322.93,492
2026-02-21,10141.79,550
2026-02-22,8826.23,536
2026-02-23,8121.57,495
2026-02-24,7374.94,434
2026-02-25,7681.36,422
2026-02-26,7828.63,401
2026-02-27,9816.29,507
2026-02-28,10714.87,571
2026-03-01,10148.2,656
2026-03-02,7248.89,500
2026-03-03,6401.62,373
2026-03-04,6051.27,301
2026-03-05,7543.03,345
2026-03-06,10713.68,474
2026-03-07,11534.85,626
2026-03-08,9310.16,597
2026-03-09,8435.06,532
2026-03-10,6839.45,416
2026-03-11,6420.24,330
2026-03-12,8789.12,401
2026-03-13,11294.09,571
2026-03-14,10421.19,612
2026-03-15,10619.48,628
2026-03-16,5536.44,440
2026-03-17,12207.67,626
2026-03-18,12005.97,713
2026-03-19,13260.79,871
2026-03-20,15137.07,1067
2026-03-21,13859.8,1091
2026-03-22,14192.03,1166
2026-03-23,12917.92,1121
2026-03-24,12732.46,1091
2026-03-25,11521.72,995
2026-03-26,12853.21,973
2026-03-27,14662.26,1102
2026-03-28,16182.18,1297
2026-03-29,14630.77,1303
2026-03-30,12208.42,1156
2026-03-31,11960.76,1115
2026-04-01,12014.0,1000
2026-04-02,9274.92,823
2026-04-03,9502.02,726
2026-04-04,10187.73,701
2026-04-05,9054.08,615
2026-04-06,6461.42,475
2026-04-07,6787.04,375
2026-04-08,7145.18,358
2026-04-09,8504.09,392
2026-04-10,9875.99,486
2026-04-11,9317.56,553
2026-04-12,9031.25,482
2026-04-13,7358.06,455
2026-04-14,5908.32,315
2026-04-15,6807.31,315
2026-04-16,8823.24,408
2026-04-17,11572.61,555
2026-04-18,10589.52,596
2026-04-19,9573.81,590
2026-04-20,7572.68,514
2026-04-21,5015.13,327
2026-04-22,6915.13,329
2026-04-23,8548.18,380
2026-04-24,12034.26,557
2026-04-25,10295.97,649
2026-04-26,9609.01,613
2026-04-27,7604.46,466
2026-04-28,5615.2,368
2026-04-29,7850.6,363
2026-04-30,9101.55,449
